trade_id,prediction_date,ticker,model_regime,direction,entry_price,stop_loss,take_profit,lots,size_pct,confidence,status,close_date,close_price,pnl
20251110194046-cl_f,2025-11-10,CL=F,cl_f,BEARISH,59.790001,62.171787,56.217322,0.01,57.27%,57.27 (>= 55),CLOSED (EXPIRED),2025-11-18,59.34,4.5
20251110194046-gc_f,2025-11-10,GC=F,gc_f,BULLISH,4105.799805,3993.299805,4274.549805,0.01,65.13%,65.13 (>= 50),CLOSED (EXPIRED),2025-11-18,4010.899902,-94.9
20251110194046-zc_f,2025-11-10,ZC=F,zc_f,BULLISH,429.250000,419.633929,443.674107,0.16,57.61%,57.61 (>= 50),CLOSED (EXPIRED),2025-11-18,433.75,36.0
20251110194046-eurusd_x,2025-11-10,EURUSD=X,eurusd_x,BULLISH,1.155668,1.146858,1.168884,0.03,52.32%,52.32 (>= 50),CLOSED (EXPIRED),2025-11-18,1.160227,13.68
20251110194046-jpyusd_x_low_vix,2025-11-10,JPYUSD=X,jpyusd_x_low_vix,BULLISH,0.006495,0.006416,0.006614,5.07,54.01%,54.01 (>= 50),CLOSED (EXPIRED),2025-11-18,0.006453,-21.36
20251110194046-nq_f_low_vix,2025-11-10,NQ=F,nq_f_low_vix,BULLISH,25561.000000,24866.526786,26602.709821,0.00,53.13%,53.13 (>= 50),CLOSED (STOP-LOSS),2025-11-18,24723.75,-0.0
20251110195934-cl_f,2025-11-10,CL=F,cl_f,BEARISH,59.860001,62.241787,56.287321,0.01,57.27%,57.27 (>= 55),CLOSED (EXPIRED),2025-11-18,59.34,5.2
20251110195934-gc_f,2025-11-10,GC=F,gc_f,BULLISH,4103.700195,3991.200195,4272.450195,0.01,65.13%,65.13 (>= 50),CLOSED (EXPIRED),2025-11-18,4010.899902,-92.8
20251110195934-zc_f,2025-11-10,ZC=F,zc_f,BULLISH,430.000000,420.357143,444.464286,0.16,57.61%,57.61 (>= 50),CLOSED (EXPIRED),2025-11-18,433.75,30.0
20251110195934-eurusd_x,2025-11-10,EURUSD=X,eurusd_x,BULLISH,1.156337,1.147526,1.169553,0.03,52.32%,52.32 (>= 50),CLOSED (EXPIRED),2025-11-18,1.160227,11.67
20251110195934-jpyusd_x_low_vix,2025-11-10,JPYUSD=X,jpyusd_x_low_vix,BULLISH,0.006496,0.006417,0.006615,5.07,54.01%,54.01 (>= 50),CLOSED (EXPIRED),2025-11-18,0.006453,-21.87
20251110195934-nq_f_low_vix,2025-11-10,NQ=F,nq_f_low_vix,BULLISH,25614.500000,24920.026786,26656.209821,0.00,53.13%,53.13 (>= 50),CLOSED (STOP-LOSS),2025-11-18,24723.75,-0.0
20251110201240-cl_f,2025-11-10,CL=F,cl_f,BEARISH,59.970001,62.351787,56.397322,0.01,57.27%,57.27 (>= 55),CLOSED (EXPIRED),2025-11-18,59.34,6.3
20251110201240-gc_f,2025-11-10,GC=F,gc_f,BULLISH,4110.700195,3998.200195,4279.450195,0.01,65.13%,65.13 (>= 50),CLOSED (EXPIRED),2025-11-18,4010.899902,-99.8
20251110201240-zc_f,2025-11-10,ZC=F,zc_f,BULLISH,430.000000,420.357143,444.464286,0.16,57.61%,57.61 (>= 50),CLOSED (EXPIRED),2025-11-18,433.75,30.0
20251110201240-eurusd_x,2025-11-10,EURUSD=X,eurusd_x,BULLISH,1.156872,1.148061,1.170088,0.03,52.32%,52.32 (>= 50),CLOSED (EXPIRED),2025-11-18,1.160227,10.07
20251110201240-jpyusd_x_low_vix,2025-11-10,JPYUSD=X,jpyusd_x_low_vix,BULLISH,0.006496,0.006416,0.006614,5.07,54.01%,54.01 (>= 50),CLOSED (EXPIRED),2025-11-18,0.006453,-21.87
20251110201240-nq_f_low_vix,2025-11-10,NQ=F,nq_f_low_vix,BULLISH,25648.500000,24954.026786,26690.209821,0.00,53.13%,53.13 (>= 50),CLOSED (STOP-LOSS),2025-11-18,24723.75,-0.0
20251110202020-cl_f,2025-11-10,CL=F,cl_f,BEARISH,59.980000,62.361786,56.407320,0.01,57.27%,57.27 (>= 55),CLOSED (EXPIRED),2025-11-18,59.34,6.4
20251110202020-gc_f,2025-11-10,GC=F,gc_f,BULLISH,4111.700195,3999.200195,4280.450195,0.01,65.13%,65.13 (>= 50),CLOSED (EXPIRED),2025-11-18,4010.899902,-100.8
